window_start,window_end,wind_speed_mean,wind_speed_median,wind_speed_max,wind_dir_mean,wind_dir_median,wind_dir_std
2024-03-03 22:30:00,2024-03-04 01:30:00,1.1,1.1,2.4,281.0,281.0,30.0
2024-03-04 00:00:00,2024-03-04 03:00:00,1.3,1.3,3.3,284.0,284.0,13.0
2024-03-04 01:30:00,2024-03-04 04:30:00,2.2,2.0,7.3,278.0,278.0,13.0
2024-03-04 03:00:00,2024-03-04 06:00:00,2.9,2.8,7.3,265.0,265.0,14.0
2024-03-04 04:30:00,2024-03-04 07:30:00,2.8,2.7,6.6,261.0,261.0,12.0
2024-03-04 06:00:00,2024-03-04 09:00:00,2.8,2.8,6.6,269.0,269.0,12.0
2024-03-04 07:30:00,2024-03-04 10:30:00,2.9,2.8,6.3,275.0,275.0,13.0
2024-03-04 09:00:00,2024-03-04 12:00:00,3.0,2.9,6.6,277.0,277.0,14.0
2024-03-04 10:30:00,2024-03-04 13:30:00,2.7,2.7,6.6,280.0,280.0,15.0
2024-03-04 12:00:00,2024-03-04 15:00:00,2.4,2.3,5.6,284.0,284.0,18.0
2024-03-04 13:30:00,2024-03-04 16:30:00,1.9,1.8,5.0,285.0,285.0,20.0
2024-03-04 16:30:00,2024-03-04 19:30:00,1.0,0.9,2.7,295.0,295.0,18.0
2024-03-04 15:00:00,2024-03-04 18:00:00,1.3,1.3,4.5,290.0,290.0,22.0
2024-03-04 18:00:00,2024-03-04 21:00:00,0.7,0.7,1.8,304.0,304.0,39.0
2024-03-04 19:30:00,2024-03-04 22:30:00,0.4,0.3,1.8,314.0,314.0,62.0
2024-03-04 22:30:00,2024-03-05 01:30:00,0.8,0.8,2.1,273.0,273.0,19.0
2024-03-04 21:00:00,2024-03-05 00:00:00,0.5,0.4,1.9,285.0,285.0,51.0
2024-03-05 00:00:00,2024-03-05 03:00:00,1.1,1.1,2.8,281.0,281.0,18.0
2024-03-05 01:30:00,2024-03-05 04:30:00,1.0,1.0,2.8,288.0,288.0,30.0
2024-03-05 06:00:00,2024-03-05 09:00:00,0.9,0.9,2.7,252.0,252.0,22.0
2024-03-05 03:00:00,2024-03-05 06:00:00,0.9,0.8,2.8,277.0,277.0,29.0
2024-03-05 04:30:00,2024-03-05 07:30:00,0.9,0.8,2.8,264.0,264.0,20.0
2024-03-05 07:30:00,2024-03-05 10:30:00,1.0,1.0,2.7,233.0,233.0,29.0
2024-03-05 09:00:00,2024-03-05 12:00:00,1.4,1.3,5.0,233.0,233.0,31.0
2024-03-05 10:30:00,2024-03-05 13:30:00,2.2,2.2,5.8,259.0,259.0,23.0
2024-03-05 12:00:00,2024-03-05 15:00:00,2.5,2.5,5.8,261.0,261.0,19.0
2024-03-05 13:30:00,2024-03-05 16:30:00,2.3,2.3,5.7,261.0,261.0,24.0
2024-03-05 15:00:00,2024-03-05 18:00:00,2.1,2.1,5.7,282.0,282.0,23.0
2024-03-05 18:00:00,2024-03-05 21:00:00,1.3,1.2,4.1,286.0,286.0,19.0
2024-03-05 16:30:00,2024-03-05 19:30:00,1.7,1.6,4.6,290.0,290.0,17.0
2024-03-05 19:30:00,2024-03-05 22:30:00,1.3,1.3,4.1,284.0,284.0,17.0
2024-03-05 21:00:00,2024-03-06 00:00:00,1.6,1.5,3.9,285.0,285.0,15.0
2024-03-05 22:30:00,2024-03-06 01:30:00,1.5,1.5,4.0,286.0,286.0,29.0
2024-03-06 00:00:00,2024-03-06 03:00:00,1.2,1.2,4.0,285.0,285.0,40.0
2024-03-06 01:30:00,2024-03-06 04:30:00,0.9,0.8,3.8,296.0,296.0,74.0
